============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 MeV) ==> Layer 1( 1.92 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   54  1 .4449421E+07   1922000E+01  .7166E+06  .8008E+05   .9964248  .0829378  .0160917
T   55  1 .5555826E+07   1922000E+01  .3174E+06 -.1777E+06   .9987463  .0500137  .0021312
T   56  1 .5137103E+07   1922000E+01 -.4657E+05 -.1534E+06   .9999573  .0030929 -.0087088
T   57  1 .5453895E+07   1922000E+01 -.9664E+05  .1509E+06   .9999306  .0041826 -.0110178
T   58  1 .4605211E+07   1922000E+01  .8339E+06  .2628E+06   .9979912  .0633503  .0004829
T   59  1 .4810175E+07   1922000E+01  .2584E+05 -.4230E+06   .9982723  .0586942 -.0027237
T   60  1 .5206954E+07   1922000E+01 -.3054E+04  .1116E+06   .9996619  .0185043  .0182658
T   61  1 .5197669E+07   1922000E+01  .5878E+05  .1279E+06   .9999857 -.0053399 -.0002107
T   62  1 .4802910E+07   1922000E+01 -.2719E+06 -.2510E+06   .9993243 -.0275846 -.0242913
T   63  1 .5466972E+07   1922000E+01 -.6157E+06 -.1746E+04   .9997940 -.0190834  .0069099
T   64  1 .5740955E+07   1922000E+01 -.2373E+06 -.1777E+06   .9999586  .0090852  .0004445
T   65  1 .4956740E+07   1922000E+01 -.2312E+06  .1917E+06   .9998531  .0134289 -.0106493
T   66  1 .6259820E+07   1922000E+01  .1153E+06 -.2091E+06   .9981709 -.0085892 -.0598421
T   67  1 .4878347E+07   1922000E+01  .1553E+06 -.1118E+06   .9992659  .0363877 -.0119814
T   68  1 .5005108E+07   1922000E+01  .5868E+05  .3384E+06   .9988231 -.0377663  .0304337
T   69  1 .5072158E+07   1922000E+01 -.2818E+06  .3860E+06   .9976716 -.0649259  .0208798
T   70  1 .5153098E+07   1922000E+01  .2416E+06 -.7198E+05   .9978573  .0634532 -.0159506
T   71  1 .5606169E+07   1922000E+01 -.6725E+06  .3945E+05   .9982866 -.0376453 -.0447963
T   72  1 .5126751E+07   1922000E+01 -.6073E+05 -.3681E+06   .9997191 -.0162188  .0172834
T   73  1 .5203493E+07   1922000E+01 -.1339E+06 -.4407E+06   .9998880 -.0122320 -.0086214
T   74  1 .5420327E+07   1922000E+01 -.5693E+06  .4042E+06   .9976025 -.0536206  .0437493
T   75  1 .5134150E+07   1922000E+01  .2594E+06  .4425E+05   .9993035  .0207616  .0310088
T   76  1 .4523315E+07   1922000E+01 -.1075E+06 -.1950E+06   .9996192  .0118387 -.0249257
T   77  1 .4455873E+07   1922000E+01 -.1712E+06  .4051E+06   .9983583  .0171587  .0546472
T   78  1 .5124027E+07   1922000E+01  .1884E+06 -.2358E+06   .9982859  .0572702 -.0120565
T   79  1 .4993264E+07   1922000E+01 -.1038E+07  .1843E+06   .9988540 -.0149626 -.0454618
T   80  1 .5118125E+07   1922000E+01  .2535E+05  .4417E+06   .9987744  .0330569  .0368365
T   81  1 .5295307E+07   1922000E+01 -.2434E+05  .5703E+05   .9999707  .0071657  .0027075
T   82  1 .4349379E+07   1922000E+01 -.1357E+06 -.1882E+06   .9994645 -.0297346 -.0136610
T   83  1 .5200914E+07   1922000E+01  .9989E+05 -.8529E+05   .9995215  .0266912 -.0156323
T   84  1 .4282373E+07   1922000E+01 -.2914E+06 -.2311E+06   .9989560 -.0423857 -.0170417
T   85  1 .5758832E+07   1922000E+01 -.2274E+05 -.2877E+06   .9994746  .0038981 -.0321750
T   86  1 .4945753E+07   1922000E+01 -.8250E+05  .6566E+05   .9975084  .0396961  .0583197
T   87  1 .4691769E+07   1922000E+01  .2881E+06  .1129E+07   .9953822  .0381079  .0881026
T   88  1 .5686348E+07   1922000E+01  .1073E+06 -.3246E+06   .9976152  .0197531 -.0661335
T   89  1 .5362881E+07   1922000E+01  .8704E+05 -.4155E+05   .9998069  .0019663 -.0195503
T   90  1 .5078433E+07   1922000E+01  .3302E+06 -.4341E+06   .9983379  .0494695 -.0295682
T   91  1 .5202244E+07   1922000E+01  .1693E+06  .3801E+06   .9985211 -.0541425 -.0049166
T   92  1 .6074779E+07   1922000E+01  .6673E+06  .5447E+05   .9990892  .0426145  .0022005
T   93  1 .4841918E+07   1922000E+01 -.3437E+06 -.2240E+06   .9997400 -.0194181  .0119487
T   94  1 .4802523E+07   1922000E+01  .2921E+06  .6714E+05   .9992944  .0266756 -.0264412
T   95  1 .5480310E+07   1922000E+01  .6351E+05 -.4057E+06   .9990302  .0115666 -.0424842
T   96  1 .5275704E+07   1922000E+01  .1065E+06 -.3470E+06   .9986833  .0084721 -.0505962
T   97  1 .4823705E+07   1922000E+01  .9810E+05 -.2054E+05   .9991414  .0162527 -.0381083
T   98  1 .5610308E+07   1922000E+01  .2949E+06 -.5662E+06   .9950856  .0703121 -.0697205
T   99  1 .4865741E+07   1922000E+01 -.2320E+06 -.1288E+06   .9999372  .0098761 -.0052893
T  100  1 .4432125E+07   1922000E+01  .3371E+06  .1225E+06   .9937245  .1115109 -.0087745
T  101  1 .5726871E+07   1922000E+01 -.8426E+05  .5910E+06   .9942622 -.0177823  .1054820
T  102  1 .5633115E+07   1922000E+01  .3157E+05  .8843E+05   .9980559  .0524292 -.0336993
T  103  1 .6101952E+07   1922000E+01 -.1165E+06 -.2934E+05   .9998491 -.0097086  .0144082
T  104  1 .4845126E+07   1922000E+01 -.1130E+06  .9408E+05   .9991788  .0243105  .0324153
T  105  1 .5062691E+07   1922000E+01 -.1997E+05 -.4102E+06   .9997725 -.0109597 -.0182983
T  106  1 .4256037E+07   1922000E+01 -.2137E+06  .3369E+06   .9850359 -.0785313  .1534181
T  107  1 .5652851E+07   1922000E+01  .5392E+06  .2498E+06   .9986964  .0415907  .0295930
T  108  1 .4851226E+07   1922000E+01  .1539E+06  .6041E+05   .9996913  .0102523  .0226316
T  109  1 .5906001E+07   1922000E+01  .6680E+06 -.7051E+06   .9975501  .0073039 -.0695732
T  110  1 .5787731E+07   1922000E+01  .2344E+06  .2009E+06   .9977822  .0315191  .0586278
