============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(20 MeV) ==> Layer 1( 1.92 mm) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T 2867  1 .4856427E+07   1922000E+01  .5347E+05  .2254E+06   .9986446  .0163692  .0494060
T 2868  1 .5089959E+07   1922000E+01 -.2452E+06 -.1437E+06   .9994189 -.0028388 -.0339689
T 2869  1 .4245010E+07   1922000E+01 -.1269E+06 -.1738E+06   .9977379 -.0668975  .0066232
T 2870  1 .5781888E+07   1922000E+01 -.1235E+06  .4960E+05   .9999442  .0074175 -.0075167
T 2871  1 .5644272E+07   1922000E+01  .2099E+06 -.3846E+06   .9972434  .0634643 -.0384428
T 2872  1 .5656075E+07   1922000E+01 -.1656E+06 -.1413E+06   .9989673 -.0394673 -.0225104
T 2873  1 .5576621E+07   1922000E+01  .3673E+06 -.3974E+06   .9997849  .0202085  .0046704
T 2874  1 .5001184E+07   1922000E+01  .4943E+06  .1648E+06   .9995416  .0294427  .0070454
T 2875  1 .5733086E+07   1922000E+01 -.9430E+05 -.7620E+05   .9999446 -.0087792 -.0058045
T 2876  1 .5724652E+07   1922000E+01  .8707E+04 -.4806E+06   .9994046  .0170807 -.0299776
T 2877  1 .4053214E+07   1922000E+01 -.1276E+06 -.1378E+06   .9998500 -.0173054 -.0007188
T 2878  1 .4115436E+07   1922000E+01 -.1236E+06  .2344E+06   .9998986 -.0009797  .0142040
T 2879  1 .6452120E+07   1922000E+01  .1015E+06 -.1705E+06   .9986202  .0502552  .0152376
T 2880  1 .5096557E+07   1922000E+01 -.1148E+06  .1844E+06   .9974189 -.0682383  .0223398
T 2881  1 .4992847E+07   1922000E+01  .1154E+06 -.1038E+06   .9990342 -.0098516 -.0428206
T 2882  1 .5052887E+07   1922000E+01 -.1824E+06  .1066E+06   .9988565 -.0462327 -.0121732
T 2883  1 .5572432E+07   1922000E+01 -.2899E+06 -.1919E+06   .9998126 -.0180413 -.0070186
T 2884  1 .5286502E+07   1922000E+01 -.1165E+04 -.9194E+05   .9998518 -.0100991 -.0139433
T 2885  1 .5089616E+07   1922000E+01 -.7450E+05 -.1417E+05   .9996291 -.0117795  .0245543
T 2886  1 .5356302E+07   1922000E+01  .1636E+06 -.6367E+05   .9999288 -.0113035  .0038260
T 2887  1 .5453579E+07   1922000E+01 -.2245E+06 -.2627E+06   .9992722 -.0190883 -.0330271
T 2888  1 .5104716E+07   1922000E+01 -.8648E+06 -.7946E+06   .9968208 -.0379455 -.0700605
T 2889  1 .5417914E+07   1922000E+01 -.3181E+06 -.3140E+06   .9994701 -.0122697 -.0301485
T 2890  1 .4772597E+07   1922000E+01 -.2285E+06 -.7104E+06   .9885687  .0755359 -.1304848
T 2891  1 .5431793E+07   1922000E+01  .2872E+06  .4578E+06   .9972145  .0633681  .0393404
T 2892  1 .4916742E+07   1922000E+01  .2072E+06  .7446E+06   .9977142 -.0314679  .0598005
T 2893  1 .5672248E+07   1922000E+01 -.1336E+06  .2401E+06   .9951447 -.0854889  .0487713
T 2894  1 .4984513E+07   1922000E+01 -.1656E+06  .2969E+06   .9996141  .0063838  .0270351
T 2895  1 .5611160E+07   1922000E+01 -.3281E+05 -.8145E+04   .9999282  .0092118  .0076598
T 2896  1 .4449414E+07   1922000E+01  .5802E+06 -.1510E+06   .9983480  .0574531 -.0006482
T 2897  1 .5634365E+07   1922000E+01 -.1786E+05 -.8754E+05   .9998155 -.0117910 -.0151657
T 2898  1 .5221946E+07   1922000E+01 -.4692E+06 -.2828E+06   .9985806 -.0342162 -.0408161
T 2899  1 .4967115E+07   1922000E+01 -.3310E+06 -.2849E+06   .9990684 -.0329994 -.0278080
T 2900  1 .5675746E+07   1922000E+01  .1628E+05 -.3572E+06   .9986394 -.0013149 -.0521315
T 2901  1 .4655755E+07   1922000E+01  .1512E+06 -.3422E+06   .9974776  .0504334 -.0499485
T 2902  1 .5323251E+07   1922000E+01  .3019E+06 -.2082E+06   .9981402  .0108869 -.0599807
T 2903  1 .5767801E+07   1922000E+01 -.2524E+06 -.5667E+05   .9991692 -.0382298 -.0141214
T 2904  1 .5485013E+07   1922000E+01  .2770E+06 -.3263E+06   .9974967  .0256125 -.0659119
T 2905  1 .4761083E+07   1922000E+01  .1001E+06  .2124E+06   .9987974 -.0062306  .0486310
T 2906  1 .5168301E+07   1922000E+01 -.4277E+06 -.2569E+06   .9991087 -.0267230 -.0326768
T 2907  1 .5570692E+07   1922000E+01 -.2164E+06  .4787E+05   .9999453 -.0070209 -.0077470
T 2908  1 .5045946E+07   1922000E+01  .2555E+06 -.1127E+06   .9997396 -.0224690  .0039742
T 2909  1 .5234413E+07   1922000E+01  .2318E+06  .1346E+06   .9999943 -.0029279 -.0016610
T 2910  1 .4882646E+07   1922000E+01 -.1295E+06  .4279E+06   .9988882 -.0126262  .0454195
T 2911  1 .5096211E+07   1922000E+01  .1230E+06  .4137E+06   .9996826  .0173033  .0183083
T 2912  1 .5639024E+07   1922000E+01  .1131E+06  .2975E+06   .9979636  .0048412  .0636026
T 2913  1 .5044142E+07   1922000E+01  .5110E+06 -.2231E+06   .9958537  .0896030 -.0157045
T 2914  1 .4385331E+07   1922000E+01 -.4980E+06  .3749E+06   .9970055 -.0736201  .0236671
T 2915  1 .4503180E+07   1922000E+01  .1672E+06  .2357E+05   .9992845  .0268238  .0266636
T 2916  1 .5548401E+07   1922000E+01 -.1497E+06 -.1644E+06   .9998743 -.0053996  .0149086
T 2917  1 .5096409E+07   1922000E+01  .1423E+06  .1033E+06   .9996717  .0116062  .0228446
T 2918  1 .5763355E+07   1922000E+01  .2607E+06 -.2828E+06   .9995909  .0201558 -.0202916
T 2919  1 .5399344E+07   1922000E+01 -.7136E+05 -.1334E+06   .9979599 -.0576675 -.0273945
T 2920  1 .4479353E+07   1922000E+01  .2906E+06  .3288E+05   .9994906  .0293159  .0126114
T 2921  1 .5327458E+07   1922000E+01  .5693E+06 -.8901E+06   .9980199  .0222396 -.0588356
T 2922  1 .5283725E+07   1922000E+01 -.8416E+06  .2421E+06   .9939240 -.0988698  .0483730
T 2923  1 .4688519E+07   1922000E+01 -.1413E+06  .3415E+05   .9997367  .0130818 -.0188506
T 2924  1 .4763006E+07   1922000E+01 -.1835E+06 -.2293E+06   .9985072 -.0526792  .0144350
T 2925  1 .5398648E+07   1922000E+01  .4734E+06  .4399E+06   .9974674  .0356045  .0615719
T 2926  1 .5129661E+07   1922000E+01 -.2730E+06 -.1979E+06   .9989566 -.0453896  .0050575
T 2927  1 .5174383E+07   1922000E+01 -.2882E+05 -.1942E+06   .9999112  .0130658  .0026260
T 2928  1 .5321210E+07   1922000E+01 -.1033E+06 -.2049E+05   .9995006 -.0117944  .0293148
T 2929  1 .5651678E+07   1922000E+01  .5209E+06 -.1291E+06   .9979262  .0643487  .0015681
T 2930  1 .5128133E+07   1922000E+01  .3511E+05 -.3408E+06   .9965424  .0809219 -.0188395
T 2931  1 .5412210E+07   1922000E+01 -.1154E+06 -.4611E+06   .9989144  .0071944 -.0460238
T 2932  1 .5689163E+07   1922000E+01 -.3899E+06 -.1055E+06   .9994589 -.0214434  .0249411
T 2933  1 .6166009E+07   1922000E+01  .1842E+06  .1745E+06   .9994374  .0293514 -.0162274
T 2934  1 .5490730E+07   1922000E+01  .3887E+05  .3683E+06   .9991944  .0030083  .0400184
T 2935  1 .4767327E+07   1922000E+01  .3249E+06 -.3588E+06   .9985885  .0503622 -.0168706
T 2936  1 .4634575E+07   1922000E+01  .1282E+06 -.5780E+06   .9942278  .0168061 -.1059653
T 2937  1 .4516036E+07   1922000E+01 -.4846E+06 -.1264E+06   .9983835 -.0454882 -.0340780
T 2938  1 .4974120E+07   1922000E+01 -.1662E+06 -.2808E+06   .9999303  .0083333 -.0083578
T 2939  1 .5223115E+07   1922000E+01  .2802E+06  .4830E+06   .9974931  .0047589  .0706037
T 2940  1 .4340946E+07   1922000E+01  .5669E+06  .1820E+06   .9969648  .0385621  .0676331
T 2941  1 .4924942E+07   1922000E+01 -.1240E+06  .3627E+06   .9997227  .0226194 -.0065541
T 2942  1 .4864760E+07   1922000E+01 -.3919E+06  .3222E+06   .9979739 -.0453099  .0446675
T 2943  1 .4325385E+07   1922000E+01 -.2292E+07  .2415E+07   .9678809 -.1723531  .1830327
T 2944  1 .5309718E+07   1922000E+01 -.5437E+06 -.7889E+06   .9854991 -.0982242 -.1383603
T 2945  1 .4928263E+07   1922000E+01  .1039E+07  .2568E+04   .9993443  .0361759 -.0014865
T 2946  1 .4746709E+07   1922000E+01 -.6191E+06 -.3479E+06   .9986935 -.0426285 -.0281805
T 2947  1 .4252317E+07   1922000E+01 -.5326E+06  .1383E+06   .9968934 -.0528569  .0583919
T 2948  1 .4508430E+07   1922000E+01  .5891E+06  .7993E+05   .9981871  .0570082 -.0193007
T 2949  1 .5140919E+07   1922000E+01  .7784E+06  .7631E+06   .9976898  .0650337  .0196380
T 2950  1 .5394562E+07   1922000E+01 -.3107E+06  .2093E+06   .9983954 -.0227302  .0518654
T 2951  1 .5794731E+07   1922000E+01 -.2242E+06  .3608E+05   .9997747 -.0177652  .0116158
T 2952  1 .4441728E+07   1922000E+01 -.3239E+05  .2370E+06   .9996580  .0238512  .0107245
T 2953  1 .4370291E+07   1922000E+01  .5054E+06 -.3713E+06   .9973857  .0695022 -.0197769
T 2954  1 .4923249E+07   1922000E+01 -.1922E+06 -.5255E+06   .9979762 -.0239961 -.0588878
T 2955  1 .5460477E+07   1922000E+01  .6093E+06  .5935E+06   .9921646  .1142168  .0506359
T 2956  1 .5256265E+07   1922000E+01  .1583E+06  .2209E+06   .9985264  .0143013  .0523502
T 2957  1 .5780709E+07   1922000E+01 -.2837E+06  .4439E+06   .9998548  .0053787  .0161701
T 2958  1 .5294722E+07   1922000E+01  .3273E+06 -.4316E+06   .9982016  .0455563 -.0389644
T 2959  1 .4978753E+07   1922000E+01  .1375E+06 -.6311E+06   .9953771  .0251462 -.0926931
T 2960  1 .5138875E+07   1922000E+01 -.6109E+05  .1812E+06   .9995679 -.0208363  .0207354
T 2961  1 .5708284E+07   1922000E+01 -.3915E+06  .1025E+06   .9977494 -.0617100 -.0262288
T 2962  1 .4682559E+07   1922000E+01  .6813E+05 -.3380E+06   .9988636  .0154685 -.0450809
T 2963  1 .5331204E+07   1922000E+01 -.2438E+06 -.3689E+06   .9992868 -.0358526  .0118492
T 2964  1 .5982524E+07   1922000E+01  .1010E+04 -.1081E+06   .9999214 -.0051608 -.0114237
T 2965  1 .5838374E+07   1922000E+01 -.3020E+06 -.3438E+06   .9993586 -.0074727 -.0350210
T 2966  1 .5026149E+07   1922000E+01  .1240E+05  .1538E+06   .9983043  .0320923  .0485647
T 2967  1 .5016839E+07   1922000E+01  .1114E+06 -.2871E+06   .9996152  .0277256 -.0008512
T 2968  1 .5737007E+07   1922000E+01 -.1364E+06  .1201E+06   .9997359 -.0116452  .0198119
T 2970  1 .5425459E+07   1922000E+01  .8403E+06  .3663E+06   .9930995  .0976158  .0649964
T 2971  1 .5316139E+07   1922000E+01 -.3118E+06 -.3192E+06   .9705916 -.1358390 -.1987451
T 2972  1 .4684724E+07   1922000E+01  .5562E+05 -.4922E+06   .9972515  .0082559 -.0736295
T 2973  1 .5300429E+07   1922000E+01  .1156E+06 -.3898E+05   .9997908  .0114817 -.0169269
T 2974  1 .5112777E+07   1922000E+01  .8055E+05  .1065E+06   .9992184  .0347170  .0189041
T 2976  1 .5019290E+07   1922000E+01  .2302E+06  .2715E+06   .9989704 -.0104059  .0441568
T 2977  1 .5157443E+07   1922000E+01 -.3348E+06  .3409E+04   .9971201 -.0482110  .0585426
T 2978  1 .5132262E+07   1922000E+01 -.4556E+06 -.1940E+06   .9990852 -.0426835 -.0026128
T 2979  1 .5067834E+07   1922000E+01 -.1148E+06  .1967E+06   .9996493 -.0264522  .0012423
T 2980  1 .4796928E+07   1922000E+01  .2177E+06  .1032E+06   .9996813  .0202335  .0150978
T 2981  1 .5466246E+07   1922000E+01 -.8486E+05 -.1978E+06   .9983803 -.0039059 -.0567589
T 2982  1 .5571769E+07   1922000E+01 -.1514E+06 -.1910E+06   .9998346 -.0130166 -.0127053
T 2983  1 .4405400E+07   1922000E+01  .3542E+06 -.1228E+06   .9997443  .0208588 -.0087346
T 2984  1 .4734169E+07   1922000E+01  .1346E+07 -.1748E+06   .9868678  .1509624 -.0574665
T 2985  1 .5925994E+07   1922000E+01  .4191E+06  .6008E+05   .9992634  .0344795  .0168463
T 2986  1 .4781188E+07   1922000E+01 -.3325E+06  .1643E+06   .9983443 -.0266735 -.0509627
T 2987  1 .4506588E+07   1922000E+01 -.2522E+06 -.5385E+06   .9986150 -.0049974 -.0523750
T 2988  1 .5098360E+07   1922000E+01 -.1667E+05  .6478E+05   .9994029 -.0086450  .0334524
T 2989  1 .4395670E+07   1922000E+01 -.1659E+06  .2040E+06   .9984294 -.0196943  .0524479
T 2990  1 .4902827E+07   1922000E+01 -.3043E+06  .2798E+06   .9993656 -.0356053 -.0007773
T 2991  1 .4564694E+07   1922000E+01  .1708E+05 -.4949E+06   .9994368  .0234711 -.0239848
T 2992  1 .5737684E+07   1922000E+01 -.1744E+05  .5432E+06   .9982436 -.0171843  .0566956
T 2993  1 .5279033E+07   1922000E+01 -.4069E+05  .2122E+06   .9992603  .0017871  .0384132
T 2994  1 .5448561E+07   1922000E+01 -.2142E+06  .1502E+06   .9987760 -.0446384  .0213050
T 2995  1 .4658695E+07   1922000E+01  .7189E+05 -.3042E+06   .9985397  .0083636 -.0533718
T 2996  1 .5141551E+07   1922000E+01  .1060E+06  .2671E+06   .9998674  .0033276  .0159416
T 2997  1 .5084131E+07   1922000E+01  .1815E+06  .2761E+06   .9996184  .0221924  .0164503
T 2998  1 .4921801E+07   1922000E+01  .5189E+06 -.2795E+06   .9963445  .0854260 -.0001020
T 2999  1 .4934448E+07   1922000E+01  .7758E+05 -.3521E+06   .9979571  .0301133 -.0563452
T 3000  1 .5812380E+07   1922000E+01 -.7586E+05  .2336E+06   .9977000  .0062306  .0674973
T 3001  1 .5538841E+07   1922000E+01  .4728E+06  .5276E+05   .9994629  .0199834  .0259737
T 3002  1 .4916781E+07   1922000E+01 -.1689E+06 -.1393E+06   .9998073 -.0192002 -.0040799
T 3003  1 .5344321E+07   1922000E+01  .1957E+06  .2181E+06   .9994992  .0309923  .0063839
T 3004  1 .5306802E+07   1922000E+01  .2184E+06  .2208E+06   .9986536 -.0445040 -.0266547
T 3005  1 .4549969E+07   1922000E+01  .2200E+06 -.2779E+06   .9984393  .0481651 -.0282684
T 3006  1 .4884212E+07   1922000E+01 -.3613E+06  .1002E+06   .9996211 -.0208053 -.0180245
T 3007  1 .4877574E+07   1922000E+01  .3164E+06 -.5618E+05   .9955996  .0874187 -.0337547
T 3008  1 .4977478E+07   1922000E+01  .2335E+06 -.5173E+06   .9981598  .0464976 -.0389238
T 3009  1 .4191584E+07   1922000E+01 -.5058E+05 -.8821E+05   .9994913 -.0021694 -.0318184
T 3010  1 .5433407E+07   1922000E+01 -.1412E+06 -.2017E+05   .9969620 -.0777427 -.0047880
T 3011  1 .4974280E+07   1922000E+01  .4902E+06  .2131E+05   .9928164  .1147813 -.0337773
T 3012  1 .5241658E+07   1922000E+01  .2631E+05 -.2125E+06   .9994386 -.0320021  .0099177
T 3013  1 .4548597E+07   1922000E+01  .9377E+06  .6511E+06   .9373970  .2208218  .2693040
T 3014  1 .4021050E+07   1922000E+01 -.7010E+05 -.1247E+06   .9995639 -.0027661 -.0293984
T 3015  1 .4850304E+07   1922000E+01 -.2022E+05 -.8969E+05   .9994437  .0312310 -.0117053
T 3016  1 .4879614E+07   1922000E+01 -.2766E+06  .3853E+06   .9972678 -.0652813  .0345717
T 3017  1 .5414547E+07   1922000E+01  .3362E+06  .1360E+06   .9992786  .0302711  .0229314
T 3018  1 .4761271E+07   1922000E+01 -.2980E+06 -.2556E+06   .9921232 -.1170020  .0447452
T 3019  1 .4350400E+07   1922000E+01  .1955E+07  .1803E+07   .9782541  .1755264  .1104957
T 3020  1 .4953394E+07   1922000E+01 -.1495E+05 -.1478E+05   .9991409  .0153964 -.0384768
T 3021  1 .5087379E+07   1922000E+01 -.1545E+06  .2976E+06   .9998035  .0093173  .0174982
T 3022  1 .4944107E+07   1922000E+01  .5684E+05 -.7139E+05   .9998680 -.0068605 -.0147314
T 3023  1 .5055423E+07   1922000E+01  .1496E+06  .2396E+06   .9989097  .0464393  .0047848
T 3024  1 .4244737E+07   1922000E+01  .1548E+06  .5009E+06   .9981391  .0226456  .0566166
T 3025  1 .5286716E+07   1922000E+01 -.1050E+06  .3174E+04   .9999703  .0075099 -.0017561
T 3026  1 .5749151E+07   1922000E+01 -.5876E+06  .2730E+06   .9974835 -.0589608  .0393735
T 3027  1 .5162100E+07   1922000E+01  .7973E+06  .1440E+06   .9948143  .0858282  .0545705
T 3028  1 .5063424E+07   1922000E+01 -.3172E+06  .6087E+06   .9971056 -.0344967  .0677529
T 3029  1 .4922772E+07   1922000E+01 -.5623E+06  .2724E+06   .9971196 -.0508067 -.0563129
T 3030  1 .4732326E+07   1922000E+01 -.3146E+06  .2806E+06   .9979444 -.0224918  .0600099
T 3031  1 .5358369E+07   1922000E+01  .2097E+06 -.7849E+04   .9993442  .0299954 -.0202853
T 3032  1 .5401397E+07   1922000E+01 -.1292E+06 -.2647E+06   .9998403 -.0029232 -.0176325
T 3033  1 .5307335E+07   1922000E+01 -.3939E+06 -.8719E+06   .9896095 -.1218711 -.0762916
T 3034  1 .4842013E+07   1922000E+01 -.1631E+06 -.1756E+06   .9997983 -.0107405 -.0169705
T 3035  1 .4404947E+07   1922000E+01 -.2353E+06  .3837E+06   .9995894 -.0246731  .0145697
T 3036  1 .5058608E+07   1922000E+01 -.4718E+06 -.1436E+06   .9970860 -.0759519  .0071344
T 3037  1 .6126730E+07   1922000E+01  .3233E+06 -.7001E+05   .9999404  .0073453  .0080738
T 3038  1 .5016135E+07   1922000E+01 -.1643E+06 -.7244E+06   .9852047 -.0554987 -.1621466
T 3039  1 .4933998E+07   1922000E+01 -.8940E+05 -.2019E+06   .9990723 -.0318396 -.0289963
T 3040  1 .5027982E+07   1922000E+01  .3294E+06 -.2207E+06   .9997576  .0092375 -.0199858
T 3041  1 .4951170E+07   1922000E+01  .3694E+05  .1264E+06   .9986913  .0509908 -.0039423
T 3042  1 .4893264E+07   1922000E+01  .3511E+05 -.2779E+06   .9997254  .0097420 -.0213102
T 3043  1 .5064707E+07   1922000E+01  .1025E+06  .2780E+05   .9992830 -.0327699  .0189650
T 3044  1 .5026777E+07   1922000E+01  .4721E+05  .1329E+06   .9990280  .0440420  .0018456
T 3045  1 .5230866E+07   1922000E+01  .3419E+06 -.2091E+06   .9997173  .0140040 -.0192170
T 3046  1 .3956080E+07   1922000E+01 -.3952E+06 -.4335E+04   .9983917 -.0386481 -.0414774
T 3047  1 .4790538E+07   1922000E+01  .6878E+06 -.4497E+06   .9994897  .0238969 -.0211963
T 3048  1 .5698718E+07   1922000E+01 -.2123E+05 -.7259E+05   .9996421 -.0240197 -.0117817
T 3049  1 .5378579E+07   1922000E+01  .3138E+05  .3850E+06   .9985805  .0396454  .0355701
T 3050  1 .4943268E+07   1922000E+01 -.2827E+06 -.2905E+05   .9998911 -.0080252  .0123837
T 3051  1 .4635472E+07   1922000E+01 -.1502E+06 -.2604E+06   .9991724 -.0222661 -.0340392
T 3052  1 .5321100E+07   1922000E+01  .8728E+05  .4376E+06   .9991837  .0170304  .0366321
T 3053  1 .4938708E+07   1922000E+01 -.6554E+05  .6242E+06   .9988167 -.0311419  .0373561
T 3054  1 .5613771E+07   1922000E+01 -.9555E+05  .2283E+05   .9998138 -.0192859  .0005715
T 3055  1 .5295256E+07   1922000E+01 -.2184E+06 -.1544E+06   .9998765 -.0156746 -.0011235
T 3056  1 .4230686E+07   1922000E+01  .1949E+06  .9467E+05   .9981696  .0599260  .0081449
T 3057  1 .5248453E+07   1922000E+01 -.1352E+05 -.3831E+05   .9984680 -.0515388 -.0201332
T 3058  1 .5505718E+07   1922000E+01  .1156E+05  .6107E+06   .9948412 -.0113790  .1008044
T 3059  1 .5418116E+07   1922000E+01  .3344E+06  .1763E+06   .9989623  .0245622  .0383534
T 3060  1 .4383240E+07   1922000E+01  .8159E+04  .5235E+05   .9995041 -.0187859  .0252711
T 3061  1 .5670989E+07   1922000E+01 -.2416E+06  .6761E+05   .9990969 -.0329449  .0268343
T 3062  1 .4758135E+07   1922000E+01  .7212E+05 -.1958E+06   .9956415  .0352170 -.0863589
T 3063  1 .4718472E+07   1922000E+01 -.1715E+05 -.3657E+06   .9996088  .0241221 -.0141537
T 3064  1 .4880854E+07   1922000E+01 -.3596E+05 -.2452E+06   .9991906  .0111450 -.0386526
T 3065  1 .5196555E+07   1922000E+01 -.1148E+07 -.1607E+06   .9931219 -.1142012 -.0258247
T 3066  1 .4761123E+07   1922000E+01  .3329E+05  .2046E+06   .9988290 -.0470424  .0112961
T 3067  1 .5291991E+07   1922000E+01  .7090E+05 -.7669E+05   .9981235  .0607609  .0075933
T 3068  1 .5061687E+07   1922000E+01 -.2006E+06 -.7180E+06   .9953674 -.0528681 -.0803043
T 3069  1 .4513708E+07   1922000E+01 -.1728E+06 -.1277E+06   .9994759 -.0321247  .0039820
T 3070  1 .4782303E+07   1922000E+01  .4122E+06 -.1695E+06   .9953325  .0819149 -.0510207
T 3071  1 .5699027E+07   1922000E+01  .2176E+06 -.1905E+05   .9994406  .0263979  .0205329
T 3072  1 .5155057E+07   1922000E+01  .7060E+05  .6691E+05   .9999911 -.0027214  .0032245
T 3073  1 .5222819E+07   1922000E+01 -.2562E+06  .3933E+06   .9958557 -.0898235 -.0142553
T 3074  1 .4339623E+07   1922000E+01  .2714E+06  .3254E+06   .9982254  .0542601  .0245324
T 3075  1 .5614137E+07   1922000E+01  .6442E+04  .4825E+06   .9934352 -.0577327  .0987592
T 3076  1 .5181833E+07   1922000E+01  .1455E+06  .3953E+06   .9985805  .0465501  .0258838
T 3077  1 .4682692E+07   1922000E+01  .4313E+06  .6177E+05   .9997304 -.0211943 -.0094848
T 3078  1 .4663949E+07   1922000E+01  .7678E+05 -.7619E+05   .9998554  .0076899 -.0151692
T 3079  1 .4874829E+07   1922000E+01 -.2850E+06 -.1475E+06   .9980420 -.0217026  .0586617
T 3080  1 .4958124E+07   1922000E+01  .1586E+06 -.6276E+06   .9977892  .0271301 -.0606688
T 3081  1 .5184799E+07   1922000E+01 -.1304E+05 -.2076E+06   .9979318 -.0572352 -.0292613
T 3082  1 .4217751E+07   1922000E+01  .2929E+05 -.1378E+06   .9998231  .0174830 -.0069333
T 3083  1 .4149898E+07   1922000E+01  .8344E+06  .1344E+06   .9959025  .0900308  .0085290
T 3084  1 .4981719E+07   1922000E+01  .1052E+06 -.2707E+06   .9978100  .0622766 -.0222898
T 3085  1 .4959423E+07   1922000E+01 -.1327E+06 -.2751E+06   .9974164  .0139297 -.0704738
T 3086  1 .5655907E+07   1922000E+01  .4710E+04  .4867E+06   .9972201  .0225481  .0710188
T 3087  1 .5263446E+07   1922000E+01  .2893E+06 -.5625E+06   .9987046  .0177901 -.0476729
T 3088  1 .4670693E+07   1922000E+01 -.5094E+06 -.3191E+06   .9982714 -.0546795 -.0215512
T 3089  1 .4754177E+07   1922000E+01  .6095E+05 -.1279E+06   .9998865  .0038709  .0145586
T 3090  1 .4830513E+07   1922000E+01 -.3279E+05 -.1705E+06   .9998376  .0178447 -.0025076
T 3091  1 .5156008E+07   1922000E+01  .3846E+06  .1562E+06   .9986582  .0465982  .0225914
T 3092  1 .4302781E+07   1922000E+01 -.2759E+06 -.9286E+05   .9970097 -.0772628 -.0014588
T 3093  1 .5638583E+07   1922000E+01 -.8417E+05  .1773E+06   .9999887 -.0010974  .0046301
T 3094  1 .4953645E+07   1922000E+01 -.1668E+06  .2409E+06   .9985664 -.0046983  .0533212
T 3095  1 .5436230E+07   1922000E+01  .2763E+06  .2155E+06   .9980350  .0464404  .0420650
T 3096  1 .5549431E+07   1922000E+01 -.2852E+05 -.3405E+05   .9991050  .0246054  .0344049
T 3097  1 .4793614E+07   1922000E+01  .1967E+05  .1525E+06   .9989487 -.0390170  .0240660
T 3098  1 .4849462E+07   1922000E+01 -.1188E+06 -.9304E+06   .9947654 -.0222226 -.0997396
T 3099  1 .5551512E+07   1922000E+01 -.1716E+06  .1779E+05   .9989957 -.0442616 -.0069698
T 3100  1 .4849129E+07   1922000E+01 -.2615E+06  .3766E+06   .9999614 -.0048306  .0073416
T 3101  1 .4905495E+07   1922000E+01 -.1050E+06  .1343E+06   .9989263 -.0447352  .0120434
T 3102  1 .5568097E+07   1922000E+01  .3647E+05  .4435E+05   .9984085 -.0551241 -.0119042
T 3103  1 .5654161E+07   1922000E+01 -.4877E+06 -.6720E+06   .9988959 -.0167822 -.0438791
T 3104  1 .4625089E+07   1922000E+01  .2953E+06 -.4238E+06   .9989879  .0187546 -.0408825
T 3105  1 .4994730E+07   1922000E+01 -.1006E+06 -.1339E+06   .9985104 -.0281077 -.0467647
T 3106  1 .4483024E+07   1922000E+01  .1663E+06  .1101E+06   .9998140  .0102386  .0163471
T 3107  1 .4475452E+07   1922000E+01 -.1520E+05  .1784E+06   .9998134  .0081167  .0175313
T 3108  1 .4852920E+07   1922000E+01  .1852E+06 -.5225E+05   .9990859  .0408224 -.0126861
T 3109  1 .4464893E+07   1922000E+01  .2784E+06  .7272E+06   .9983711  .0171731  .0544085
T 3110  1 .5215494E+07   1922000E+01 -.5174E+05 -.1978E+06   .9968882 -.0260434 -.0744014
T 3111  1 .5574388E+07   1922000E+01 -.5557E+06 -.3152E+06   .9944456 -.1009553 -.0297651
T 3112  1 .5356595E+07   1922000E+01  .7964E+05 -.4375E+06   .9995211  .0299816  .0076551
T 3113  1 .5348673E+07   1922000E+01 -.1834E+06 -.3259E+05   .9992983 -.0130120  .0351221
T 3114  1 .5210139E+07   1922000E+01  .1529E+06 -.1994E+06   .9997314  .0045263 -.0227280
T 3115  1 .4875297E+07   1922000E+01  .8972E+05 -.2669E+06   .9993859 -.0265963 -.0228129
T 3116  1 .5258837E+07   1922000E+01 -.1779E+06 -.3903E+06   .9996150 -.0246007 -.0128355
T 3117  1 .4452106E+07   1922000E+01 -.2346E+06 -.4995E+06   .9955719 -.0317603 -.0884751
T 3118  1 .4938964E+07   1922000E+01  .2538E+06  .1073E+06   .9998357  .0179946  .0022026
T 3119  1 .5439566E+07   1922000E+01  .1543E+06 -.2606E+06   .9995431  .0273163 -.0129357
T 3120  1 .5753219E+07   1922000E+01 -.1054E+06  .2490E+06   .9992614 -.0296061  .0244967
T 3121  1 .4529748E+07   1922000E+01  .8366E+05 -.2918E+06   .9996310 -.0037562 -.0269021
T 3122  1 .5306398E+07   1922000E+01 -.3719E+06  .5200E+06   .9980580 -.0622605 -.0019695
T 3123  1 .4276060E+07   1922000E+01 -.1860E+06 -.3892E+06   .9978550 -.0285979 -.0588857
T 3124  1 .5241232E+07   1922000E+01 -.3702E+06  .2182E+07   .9484303  .0696769  .3092330
